login,date,equity,balance,ts
97063065,875679700,0,0,0
97063065,875681922,0,0,0
97063065,875685170,0,0,0
97063065,875687474,0,0,0
97063065,875687737,0,0,0
97063065,875688462,0,0,0
97063065,875693159,0,0,0
97063065,875695564,0,0,0
97063065,875706730,0,0,0
97063065,875736580,0,0,0
97063065,875738230,0,0,0
97063065,875739118,0,0,0
97063065,875739370,0,0,0
97063065,875743631,0,0,0
97063065,875748911,0,0,0
97063065,875754286,0,0,0
97063065,875754664,0,0,0
97063065,875763264,0,0,0
97063065,875765699,0,0,0
97063065,875769835,0,0,0
97063065,875770699,0,0,0
97063065,875772167,0,0,0
97063065,875773970,0,0,0
97063065,875774076,0,0,0
97063065,875778401,0,0,0
97063065,875793620,0,0,0
97063065,875795222,0,0,0
97063065,875795958,0,0,0
97063065,875796100,0,0,0
97063065,875797848,0,0,0
97063065,875805441,0,0,0
97063065,875815383,0,0,0
97063065,875822499,0,0,0
97063065,875826733,0,0,0
97063065,875829879,0,0,0
97063065,875831256,0,0,0
97063065,875832137,0,0,0
97063065,875833132,0,0,0
97063065,875834305,0,0,0
97063065,875839247,0,0,0
97063065,875842062,0,0,0
97063065,875853943,0,0,0
97063065,875854653,0,0,0
97063065,875854958,0,0,0
97063065,875855491,0,0,0
97063065,875855599,0,0,0
97063065,875858205,0,0,0
97063065,875864309,0,0,0
97063065,875872540,0,0,0
97063065,875873316,0,0,0
97063065,875881491,0,0,0
97063065,875888974,0,0,0
97063065,875892212,0,0,0
97063065,875903204,0,0,0
97063065,875908406,0,0,0
97063065,875909216,0,0,0
97063065,875910124,0,0,0
97063065,875918485,0,0,0
97063065,875925359,0,0,0
97063065,875926922,0,0,0
97063065,875928219,0,0,0
97063065,875931449,0,0,0
97063065,875938420,0,0,0
97063065,875939749,0,0,0
97063065,875940948,0,0,0
97063065,875942158,0,0,0
97063065,875957675,0,0,0
97063065,875959381,0,0,0
97063065,875959502,0,0,0
97063065,875959583,0,0,0
97063065,875966441,0,0,0
97063065,875969885,0,0,0
97063065,875970375,0,0,0
97063065,875971366,0,0,0
97063065,875971431,0,0,0
97063065,875971835,0,0,0
97063065,875975546,0,0,0
97063065,875975701,0,0,0
97063065,875983506,0,0,0
97063065,875988924,0,0,0
97063065,875989225,0,0,0
97063065,876018478,0,0,0
97063065,876020303,0,0,0
97063065,876020817,0,0,0
97063065,876021313,0,0,0
97063065,876023801,0,0,0
97063065,876023942,0,0,0
97063065,876609962,0,0,0
97063065,876611056,0,0,0
97063065,876611481,0,0,0
97063065,876621541,0,0,0
97063065,876625049,0,0,0
97063065,876638968,0,0,0
97063065,876642561,0,0,0
97063065,876643697,0,0,0
97063065,876643855,0,0,0
97063065,876647140,0,0,0
97063065,876651680,0,0,0
97063065,876652203,0,0,0
97063065,876661146,0,0,0
97063065,876666466,0,0,0
97063065,876667785,0,0,0
97063065,876677339,0,0,0
97063065,876679203,0,0,0
97063065,876679447,0,0,0
97063065,876684054,0,0,0
97063065,876687288,0,0,0
97063065,876687581,0,0,0
97063065,876692602,0,0,0
97063065,876707659,0,0,0
97063065,876708121,0,0,0
97063065,876742391,0,0,0
97063065,876753267,0,0,0
97063065,876758245,0,0,0
97063065,876760195,0,0,0
97063065,876761405,0,0,0
97063065,876762920,0,0,0
97063065,876765182,0,0,0
97063065,876765418,0,0,0
97063065,876767582,0,0,0
97063065,876771019,0,0,0
97063065,876775078,0,0,0
97063065,876779226,0,0,0
97063065,876780641,0,0,0
97063065,876781572,0,0,0
97063065,876782323,0,0,0
97063065,876784167,0,0,0
97063065,876784913,0,0,0
97063065,876788923,0,0,0
